Symbol,Date,Open,High,Low,Close,Adj Close,Volume
grasim,27-08-2019,744,749.75,695,710.950012,706.729187,6553808
grasim,03-09-2019,706,711.900024,688.5,705.75,701.559998,7348401
grasim,10-09-2019,705.75,728.799988,704.150024,716.700012,712.445007,6028235
grasim,17-09-2019,716,786,695.25,759.299988,754.792114,10139828
grasim,24-09-2019,760.599976,765.700012,708.25,730.099976,725.765442,7735966
grasim,01-10-2019,736.799988,736.799988,633.599976,649,645.146912,12152389
grasim,08-10-2019,649,726.849976,642.900024,698.650024,694.502197,13322300
grasim,15-10-2019,699.549988,749,691.099976,746.5,742.068115,7899867
grasim,22-10-2019,745.950012,772,663.450012,709.950012,705.735107,14219328
grasim,29-10-2019,699.049988,798,687.900024,783.799988,779.146606,16088244
grasim,05-11-2019,785,795,755.25,767.099976,762.545776,8753967
grasim,12-11-2019,767.099976,785.900024,712,769.5,764.931519,15176180
grasim,19-11-2019,775,824.900024,770.25,822.900024,818.014526,13986766
grasim,26-11-2019,822.900024,825.25,783.049988,807.25,802.457397,15219356
grasim,03-12-2019,805,805,762.349976,766.299988,761.750549,8729595
grasim,10-12-2019,766,787.599976,759.5,763.099976,758.569519,7431942
grasim,17-12-2019,765.799988,776.400024,735,742.349976,737.942688,11166700
grasim,24-12-2019,746,749,732.799988,736.75,732.375977,5142296
grasim,31-12-2019,737,746.099976,732.900024,743.650024,739.235046,1683709
itc,01-01-2019,282.200012,285.25,277.549988,281.649994,262.840973,36102358
itc,08-01-2019,282,296,281.350006,294.299988,274.646149,53124402
itc,15-01-2019,295.25,297.399994,288.700012,289.899994,270.540009,44796440
itc,22-01-2019,289.850006,294.399994,274.200012,274.75,256.401764,96434237
itc,29-01-2019,275.299988,285.200012,273.600006,277.100006,258.594818,57204956
itc,05-02-2019,277.350006,281.200012,268.450012,277.100006,258.594818,38230815
itc,12-02-2019,277.049988,283.899994,273.899994,274.700012,256.355103,110897871
itc,19-02-2019,274,279.200012,273,276.700012,258.221558,86234971
itc,26-02-2019,274.950012,279,273.899994,278.200012,259.621368,76947762
itc,05-03-2019,280,294.899994,276.049988,292.950012,273.386353,75315856
itc,12-03-2019,294,297,289.350006,293.549988,273.946259,65888714
itc,19-03-2019,294.600006,301.950012,293.200012,295.049988,275.346069,47459597
itc,26-03-2019,295,303,291.049988,297.25,277.39917,55065137
itc,02-04-2019,297.399994,300,291.700012,292.75,273.199677,38975081
itc,09-04-2019,292.5,310,292.25,305.5,285.098206,56705987
itc,16-04-2019,306.799988,309.950012,301.049988,301.799988,281.645294,25256746
itc,23-04-2019,302.149994,309.799988,298.5,304.549988,284.21167,46839366
itc,30-04-2019,304.549988,307.549988,299.5,307,286.498047,31280003
itc,07-05-2019,308.25,309.5,287.700012,289.299988,269.980072,69540733
itc,14-05-2019,291,307.549988,288.850006,307,286.498047,68602003
itc,21-05-2019,307,310,287,290.850006,271.426575,75540928
itc,28-05-2019,291.799988,292,275.299988,278.549988,264.927826,77361859
itc,04-06-2019,279.25,282.149994,274.200012,279.399994,265.736237,40826254
itc,11-06-2019,280.899994,281.399994,274.450012,275,261.551422,41829139
itc,18-06-2019,276.149994,278.899994,273.25,276.25,262.740295,60989233
itc,25-06-2019,275.049988,280,272.5,274.950012,261.503876,56601555
